timeline,cases
14/02/22,2540273
15/02/22,2572087
16/02/22,2606824
17/02/22,2643024
18/02/22,2685463
19/02/22,2740293
20/02/22,2787493
21/02/22,2834373
22/02/22,2890522
23/02/22,2972378
24/02/22,3041506
25/02/22,3120301
26/02/22,3219177
27/02/22,3321005
28/02/22,3443485
01/03/22,3557629
02/03/22,3709481
03/03/22,3885631
04/03/22,4059262
05/03/22,4232520
06/03/22,4434700
07/03/22,4582058
08/03/22,4776873
09/03/22,5042036
10/03/22,5260495
11/03/22,5448935
12/03/22,5903147
13/03/22,6112648
14/03/22,6377438
15/03/22,6552918
