timeline,deaths
14/02/22,39037
15/02/22,39122
16/02/22,39188
17/02/22,39278
18/02/22,39358
19/02/22,39423
20/02/22,39501
21/02/22,39605
22/02/22,39682
23/02/22,39773
24/02/22,39884
25/02/22,39962
26/02/22,40050
27/02/22,40144
28/02/22,40522
01/03/22,40338
02/03/22,40452
03/03/22,40547
04/03/22,40644
05/03/22,40726
06/03/22,40813
07/03/22,40891
08/03/22,40977
09/03/22,41086
10/03/22,41157
11/03/22,41228
12/03/22,41290
13/03/22,41385
14/03/22,41477
15/03/22,41545
