country,cases
Afghanistan,176571
Albania,272711
Algeria,265478
Andorra,38794
Angola,98956
Anguilla,2595
Antigua and Barbuda,7470
Argentina,8981155
Armenia,422076
Aruba,33796
Australia,3715615
Austria,3225272
Azerbaijan,790962
Bahamas,33198
Bahrain,539988
Bangladesh,1949942
Barbados,57230
Belarus,943027
Belgium,3669964
Belize,57096
Benin,26575
Bermuda,11989
Bhutan,19435
Bolivia,898464
Bosnia,373506
Botswana,263950
Brazil,29432274
British Virgin Islands,6104
Brunei,116924
Bulgaria,1117525
Burkina Faso,20751
Burundi,38274
Cabo Verde,55911
Cambodia,134492
Cameroon,119322
Canada,3373776
Caribbean Netherlands,7739
Cayman Islands,19433
Central African Republic,14649
Chad,7267
Channel Islands,59867
Chile,3323324
China,122456
Colombia,6077861
Comoros,8069
Congo,24049
Cook Islands,476
Costa Rica,826251
Croatia,1074706
Cuba,1077966
Curaçao,39459
Cyprus,360078
Czechia,3696837
Côte d'Ivoire,81616
DRC,86375
Denmark,2826404
Diamond Princess,712
Djibouti,15568
Dominica,11529
Dominican Republic,576788
Ecuador,849699
Egypt,495373
El Salvador,156364
Equatorial Guinea,15898
Eritrea,9722
Estonia,534788
Ethiopia,469291
Falkland Islands (Malvinas),118
Faroe Islands,34237
Fiji,64081
Finland,767220
France,23649615
French Guiana,78220
French Polynesia,70826
Gabon,47570
Gambia,11973
Georgia,1637691
Germany,17567738
Ghana,160761
Gibraltar,15993
Greece,2684916
Greenland,11895
Grenada,13690
Guadeloupe,130705
Guatemala,807453
Guinea,36435
Guinea-Bissau,8071
Guyana,63157
Haiti,30473
Holy See (Vatican City State),29
Honduras,417201
Hong Kong,761550
Hungary,1814362
Iceland,165299
India,42998938
Indonesia,5914532
Iran,7130129
Iraq,2313943
Ireland,1360015
Isle of Man,25236
Israel,3732586
Italy,13489319
Jamaica,128418
Japan,5808242
Jordan,1680179
Kazakhstan,1304645
Kenya,323204
Kiribati,3038
Kuwait,626384
Kyrgyzstan,200763
Lao People's Democratic Republic,147409
Latvia,750683
Lebanon,1085846
Lesotho,32775
Liberia,7397
Libyan Arab Jamahiriya,500497
Liechtenstein,14424
Lithuania,968723
Luxembourg,194846
MS Zaandam,9
Macao,82
Macedonia,301895
Madagascar,63870
Malawi,85515
Malaysia,3872135
Maldives,174658
Mali,30428
Malta,73195
Marshall Islands,7
Martinique,135881
Mauritania,58660
Mauritius,34426
Mayotte,36745
Mexico,5613870
Micronesia,1
Moldova,508578
Monaco,9901
Mongolia,467264
Montenegro,231719
Montserrat,171
Morocco,1162236
Mozambique,225188
Myanmar,606910
Namibia,157458
Nepal,978044
Netherlands,7266972
New Caledonia,59616
New Zealand,418861
Nicaragua,18290
Niger,8781
Nigeria,255001
Niue,1
Norway,1363406
Oman,386829
Pakistan,1520120
Palau,3922
Palestine,579923
Panama,760105
Papua New Guinea,41533
Paraguay,646283
Peru,3537488
Philippines,3671293
Poland,5836672
Portugal,3380263
Qatar,359361
Romania,2798935
Russia,17412919
Rwanda,129610
Réunion,318695
S. Korea,7629275
Saint Helena,2
Saint Kitts and Nevis,5541
Saint Lucia,22856
Saint Martin,9912
Saint Pierre Miquelon,1554
Saint Vincent and the Grenadines,6743
Samoa,48
San Marino,14726
Sao Tome and Principe,5937
Saudi Arabia,749044
Senegal,85808
Serbia,1945142
Seychelles,39761
Sierra Leone,7670
Singapore,964329
Sint Maarten,9629
Slovakia,1586140
Slovenia,923011
Solomon Islands,9412
Somalia,26400
South Africa,3696823
South Sudan,17067
Spain,11260040
Sri Lanka,656814
St. Barth,3780
Sudan,61715
Suriname,78828
Swaziland,69478
Sweden,2470254
Switzerland,3156380
Syrian Arab Republic,55431
Taiwan,21402
Tajikistan,17388
Tanzania,33726
Thailand,3250642
Timor-Leste,22789
Togo,36860
Tonga,2072
Trinidad and Tobago,133393
Tunisia,1029762
Turkey,14600683
Turks and Caicos Islands,5874
UAE,885983
UK,19820181
USA,81244936
Uganda,163530
Ukraine,4912528
Uruguay,867282
Uzbekistan,237341
Vanuatu,341
Venezuela,518750
Vietnam,6552918
Wallis and Futuna,454
Western Sahara,10
Yemen,11793
Zambia,315202
Zimbabwe,242909
